state,to,votes,state_code,state_name
AK,0.641908295167065,548259,02,Alaska
AL,0.663104945621469,3458534,01,Alabama
AR,0.712655509114644,1647733,05,Arkansas
CA,0.803959524836846,21808930,06,California
CO,0.868368595711454,3729376,08,Colorado
DC,0.698212541120417,473913,11,District of Columbia
FL,0.766706367714017,14172590,12,Florida
GA,0.690516488025113,7126748,13,Georgia
IN,0.685722025503483,4396576,18,Indiana
LA,0.72096754358835,2984341,22,Louisiana
MA,0.73332401705011,4572639,25,Massachusetts
MD,0.732225944333754,4110570,24,Maryland
MI,0.710639980689131,7593651,26,Michigan
MN,0.907455137650644,3563623,27,Minnesota
MO,0.740316286874607,4038043,29,Missouri
MT,0.884054835303689,693276,30,Montana
NC,0.810049283720699,6737316,37,North Carolina
NE,0.792382969230206,1201308,31,Nebraska
NM,0.751466353490718,1205712,35,New Mexico
NV,0.714256295891852,1908427,32,Nevada
OH,0.767230950791238,7711777,39,Ohio
OK,0.732779525344651,2073041,40,Oklahoma
OR,0.748127201562468,3166785,41,Oregon
PA,0.813329230866179,8378698,42,Pennsylvania
RI,0.670550911050847,766258,44,Rhode Island
SD,0.731060585858263,562491,46,South Dakota
VA,0.771111652856584,5648409,51,Virginia
WA,0.821838554942912,4965008,53,Washington
WY,0.935291038814358,290408,56,Wyoming
